text_id,sent_id,finite_verb,non_finite_verb,length,befaft_bef,befaft_aft,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
197,136981,start,protest,7,0,0,0,0,1,0,1,0,0,VV,0
197,137001,start,print,5,0,1,0,1,0,0,1,0,0,VV,0
198,137581,start,build,5,0,1,0,1,0,1,0,0,0,VV,0
198,137802,start,hew,3,0,1,0,1,0,1,0,0,0,VVG,1
198,138011,start,discover,8,0,0,1,0,0,0,1,0,0,VVG,1
198,138307,start,say,3,0,0,1,0,0,1,0,0,0,VV,0
199,139155,start,roll,4,0,0,1,0,0,1,0,0,0,VVG,1
199,139208,start,shout,5,0,0,1,0,0,1,0,0,0,VVG,1
199,139321,start,pick,4,0,1,0,1,0,1,0,0,0,VV,0
199,139328,start,see,3,0,1,0,1,0,1,0,0,0,VV,0
199,139436,start,try,3,0,0,1,0,0,1,0,0,0,VVG,1
199,139546,hate,admit,5,0,0,1,0,0,0,1,0,0,VV,0
199,139603,start,record,6,0,1,0,1,0,1,0,0,0,VVG,1
199,140043,start,dwindle,7,0,0,1,0,0,1,0,0,0,VV,0
199,140332,start,rehearse,8,0,0,0,0,1,1,0,0,0,VVG,1
199,140549,start,believe,7,0,0,0,0,1,1,0,0,0,VV,0
199,140697,start,try,3,0,0,1,0,0,1,0,0,0,VVG,1
199,140988,start,write,5,0,1,0,1,0,1,0,0,0,VVG,1
199,141234,start,receive,7,0,1,0,1,0,1,0,0,0,VVG,1
199,141478,start,see,3,0,1,0,1,0,0,0,1,0,VV,0
